District,Neighborhood,Use,number constructions,avg  construction year,total construction surface,avg surface,total value,avg value
Centro,Palacio,Storage-Parking,2992,1969,205214,69,119478802,39933
Centro,Palacio,Shopping,1473,1921,233147,158,426916781,289828
Centro,Palacio,Cultural,36,1934,67718,1881,82383918,2288442
Centro,Palacio,Hostelry,356,1931,150141,422,278725307,782936
Centro,Palacio,Industrial,21,1941,2889,138,1980036,94287
Centro,Palacio,Sports,6,1960,8335,1389,13864668,2310778
Centro,Palacio,Offices,545,1947,179228,329,305008366,559648
Centro,Palacio,Singular buiding,16,1890,191798,11987,280081607,17505100
Centro,Palacio,Religious,18,1883,107441,5969,117636992,6535388
Centro,Palacio,Spectacles,5,1939,84965,16993,156106207,31221241
Centro,Palacio,Residential,13416,1927,1359218,101,1871561424,139502
Centro,Palacio,Health and care,11,1939,25101,2282,27088855,2462623
Centro,Embajadores,Storage-Parking,4326,1977,268239,62,142284432,32891
Centro,Embajadores,Shopping,2662,1925,374668,141,536666242,201603
Centro,Embajadores,Cultural,47,1924,210678,4483,244369218,5199345
Centro,Embajadores,Hostelry,113,1906,70225,621,113556481,1004925
Centro,Embajadores,Industrial,25,1938,2982,119,2279998,91200
Centro,Embajadores,Sports,3,1994,3413,1138,1738356,579452
Centro,Embajadores,Offices,163,1946,83611,513,77007709,472440
Centro,Embajadores,Singular buiding,3,1918,18576,6192,18586883,6195628
Centro,Embajadores,Religious,8,1865,17786,2223,15345569,1918196
Centro,Embajadores,Spectacles,7,1951,22213,3173,33967259,4852466
Centro,Embajadores,Residential,25475,1927,1990439,78,2505926976,98368
Centro,Embajadores,Health and care,10,1984,8915,892,10182156,1018216
Centro,Cortes,Storage-Parking,1694,1973,120239,71,87480119,51641
Centro,Cortes,Shopping,885,1916,148879,168,289257669,326845
Centro,Cortes,Cultural,20,1929,55391,2770,108975973,5448799
Centro,Cortes,Hostelry,213,1949,299949,1408,586212827,2752173
Centro,Cortes,Industrial,10,1954,13614,1361,13157239,1315724
