,District,Neighborhood,Neighborhood Lat,Neighborhood Lon,Venue,Venue Lat,Venue Lon,Venue Category
0,Centro,Palacio,40.415,-3.713333,Santa Iglesia Catedral de Santa María la Real de la Almudena (Catedral de la Almudena),40.41576693264202,-3.7145161628723145,Church
1,Centro,Palacio,40.415,-3.713333,Taberna Rayuela,40.41317891156541,-3.7134962971934686,Tapas Restaurant
2,Centro,Palacio,40.415,-3.713333,Cervecería La Mayor,40.41521786102789,-3.7121938520878386,Beer Bar
3,Centro,Palacio,40.415,-3.713333,Zuccaru,40.417179,-3.711674,Ice Cream Shop
4,Centro,Palacio,40.415,-3.713333,Plaza de La Almudena,40.41631960737639,-3.713776929870609,Plaza
5,Centro,Palacio,40.415,-3.713333,Plaza de la Villa,40.415408601788656,-3.710390924213192,Historic Site
6,Centro,Palacio,40.415,-3.713333,la gastroteca de santiago,40.4166394850381,-3.710943995357369,Restaurant
7,Centro,Palacio,40.415,-3.713333,Corral de la Morería,40.412619019854375,-3.7142493289306913,Performing Arts Venue
8,Centro,Palacio,40.415,-3.713333,Palacio Real de Madrid,40.41793972010854,-3.714258670806885,Palace
9,Centro,Palacio,40.415,-3.713333,Plaza de la Paja,40.41290469221371,-3.711675718271377,Plaza
10,Centro,Palacio,40.415,-3.713333,El Landó,40.411899822,-3.71507637,Spanish Restaurant
11,Centro,Palacio,40.415,-3.713333,Plaza de Oriente,40.418325668437966,-3.712196052074432,Plaza
12,Centro,Palacio,40.415,-3.713333,Jardín del Príncipe de Anglona,40.41359508044958,-3.7114285283775614,Garden
13,Centro,Palacio,40.415,-3.713333,La Esquina del Real,40.41735567714916,-3.710364295560296,French Restaurant
14,Centro,Palacio,40.415,-3.713333,Teatro Real de Madrid,40.41822583203057,-3.7110644324883078,Opera House
15,Centro,Palacio,40.415,-3.713333,Mercado de San Miguel,40.41544294871344,-3.708943462311585,Market
16,Centro,Palacio,40.415,-3.713333,Jardines de las Vistillas,40.4123433475275,-3.714763272346025,Park
17,Centro,Palacio,40.415,-3.713333,Astór Gastrobar,40.41273,-3.709617,Spanish Restaurant
18,Centro,Palacio,40.415,-3.713333,La Taberna de Mister Pinkleton,40.414535529593635,-3.708108373041791,Other Nightlife
19,Centro,Palacio,40.415,-3.713333,Amorino,40.41606544853993,-3.7083827962064877,Ice Cream Shop
20,Centro,Palacio,40.415,-3.713333,Santa Eulalia Boulangerie Pâtisserie ,40.41715285298552,-3.709777555340336,Pie Shop
21,Centro,Palacio,40.415,-3.713333,Taquería del Alamillo,40.41369706295375,-3.712548781764304,Mexican Restaurant
22,Centro,Palacio,40.415,-3.713333,Federal Café 2,40.41445972417601,-3.7087736699569414,Café
23,Centro,Palacio,40.415,-3.713333,La Musa Latina,40.41283455101768,-3.7117671604527014,Tapas Restaurant
24,Centro,Palacio,40.415,-3.713333,Plaza Menor,40.41419167633601,-3.708494089705739,Lounge
25,Centro,Palacio,40.415,-3.713333,Gyoza Go!,40.41617944092178,-3.7086119502782817,Dumpling Restaurant
26,Centro,Palacio,40.415,-3.713333,Matritum,40.412177606420805,-3.709223228765578,Tapas Restaurant
27,Centro,Palacio,40.415,-3.713333,Plaza Mayor,40.415526598647354,-3.7075061894121037,Plaza
28,Centro,Palacio,40.415,-3.713333,Plaza de Isabel II,40.41811399542555,-3.709396616703088,Plaza
29,Centro,Palacio,40.415,-3.713333,Torrons Vicens: Artesa D' Agramunt,40.41609478587808,-3.7081185796186933,Pastry Shop
30,Centro,Palacio,40.415,-3.713333,El Estudio de los Arquitectos,40.41252736670137,-3.710673020549052,Cocktail Bar
31,Centro,Palacio,40.415,-3.713333,Casa Lucio,40.412072753,-3.709700554,Spanish Restaurant
32,Centro,Palacio,40.415,-3.713333,FitUp,40.41489987922848,-3.7091908728207295,Gym / Fitness Center
33,Centro,Palacio,40.415,-3.713333,The Hat Madrid,40.414342796030915,-3.70712009092247,Hotel
34,Centro,Palacio,40.415,-3.713333,Gauranga Trascendental Food,40.412891557155,-3.7134861946105957,Vegetarian / Vegan Restaurant
35,Centro,Palacio,40.415,-3.713333,Gayane's Madrid,40.41696769228408,-3.7096318602561946,Caucasian Restaurant
36,Centro,Palacio,40.415,-3.713333,Café de Oriente,40.41808083605312,-3.7118667284955524,Spanish Restaurant
37,Centro,Palacio,40.415,-3.713333,La Perejila,40.41238644200305,-3.709265060780486,Spanish Restaurant
38,Centro,Palacio,40.415,-3.713333,Casa Lucas,40.412314855210234,-3.7094367228292757,Tapas Restaurant
39,Centro,Palacio,40.415,-3.713333,Juana la Loca Pintxos-Bar,40.41134,-3.711101,Tapas Restaurant
40,Centro,Palacio,40.415,-3.713333,Pez Tortilla,40.411781658448255,-3.7105174528339666,Tapas Restaurant
41,Centro,Palacio,40.415,-3.713333,Champañería María Pandora,40.41254453551862,-3.714644495430593,Bar
42,Centro,Palacio,40.415,-3.713333,Real Basílica de San Francisco el Grande,40.410700057100584,-3.7138143892465507,Church
43,Centro,Palacio,40.415,-3.713333,Jardines de Sabatini,40.4199537391734,-3.713126238343502,Garden
44,Centro,Palacio,40.415,-3.713333,Pizzeria Mayor,40.412788599966305,-3.7174735135512917,Pizza Place
45,Centro,Palacio,40.415,-3.713333,La Fontanilla,40.41373276583287,-3.7081817318178416,Pub
46,Centro,Palacio,40.415,-3.713333,Pisco Mar,40.410378,-3.713808,Peruvian Restaurant
47,Centro,Palacio,40.415,-3.713333,Mad Café,40.41237079206074,-3.708825691824009,American Restaurant
48,Centro,Palacio,40.415,-3.713333,Taberna Almería,40.410716,-3.712309,Tapas Restaurant
