District,Neighborhood,Price m2,Monthly variation,Quarterly variation,Annual variation
Arganzuela,Acacias,14.50,-1.5,-3.9,-8.8
Arganzuela,Chopera,14.00,0.1,-4.4,-12.1
Arganzuela,Delicias,14.30,0.8,-1.5,-12.1
Arganzuela,Imperial,13.80,0.3,-1.9,-9.5
Arganzuela,Legazpi,13.60,0.2,-2.9,-12.0
Arganzuela,Palos de Moguer,14.80,-3.1,-5.1,-13.2
Arganzuela,Atocha,13.71,0.0,0.0,0.0
Barajas,Alameda de Osuna,10.70,-0.5,-4.0,-10.8
Barajas,Corralejos,11.20,-2.2,2.6,-2.6
Barajas,Aeropuerto,11.20,-2.2,2.6,-2.6
Barajas,Casco Historico de Barajas,11.60,-1.2,-3.0,-7.2
Barajas,Timon,12.30,3.7,7.5,2.9
Carabanchel,Abrantes,10.40,-3.5,-7.6,-9.2
Carabanchel,Buenavista,10.60,-1.4,-0.5,2.1
Carabanchel,Comillas,12.20,0.0,-2.0,-11.6
Carabanchel,Opañel,11.80,0.6,1.1,-18.8
Carabanchel,Puerta Bonita,11.30,2.2,0.4,-9.7
Carabanchel,San Isidro,11.30,-2.4,-6.2,-9.4
Carabanchel,Vista Alegre,11.10,0.4,-4.1,-8.6
Centro,Justicia,17.30,-1.0,-3.7,-14.4
Centro,Cortes,16.10,-0.7,-5.9,-13.7
Centro,Embajadores,15.90,-0.6,-3.6,-17.2
Centro,Universidad,16.70,0.0,-3.2,-16.7
Centro,Palacio,16.10,-0.9,-4.8,-11.6
Centro,Sol,16.00,-1.3,-4.7,-19.7
Chamartin,Hispanoamerica,16.00,0.0,0.0,-8.5
Chamartin,Castilla,13.70,2.5,-1.8,-9.2
Chamartin,Ciudad Jardín,14.90,-0.3,-4.5,-13.2
Chamartin,El Viso,16.70,-2.7,-4.7,3.1
Chamartin,Nueva España,16.10,-0.8,-1.5,-3.5
Chamartin,Prosperidad,14.40,-1.5,-4.6,-5.7
Chamberi,Almagro,16.90,-1.2,-3.9,-4.1
Chamberi,Arapiles,15.80,-0.1,-5.0,-13.1
Chamberi,Gaztambide,15.60,-1.3,-3.8,-12.8
Chamberi,Rios Rosas,16.00,-1.0,-4.7,-11.3
Chamberi,Trafalgar,16.50,-1.2,-7.0,-14.6
Chamberi,Vallehermoso,15.20,1.6,-4.2,-14.3
Ciudad Lineal,Atalaya,14.40,-3.2,0.0,-9.2
Ciudad Lineal,Colina,13.50,1.7,-3.0,-10.0
Ciudad Lineal,Concepcion,13.10,0.0,-2.5,-8.3
Ciudad Lineal,Costillares,13.30,0.0,0.8,-3.7
Ciudad Lineal,Pueblo Nuevo,12.10,-1.4,-4.8,-5.0
Ciudad Lineal,Quintana,12.50,-1.4,-4.0,-8.0
